1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Garry, 2018, Answer should be incompressible and non viscous which are the fundamental properties of Ideal fluid.
	Sreenath, 2018, The correct option is incompressible and non-viscous.
	Vinodkumar, 2018, Incomprehensible is the answer.
	Boss, 2018, An ideal fluid is always incompressible and frictionless, so the answer A is correct.
	Lovey Gill, 2018, Ideal fluid which have no viscosity, no surface tension &no compressibility.
	Mn Yogi, 2019, Ideal fluid :- $% 1. Nonviscos  $% 2. Incompressible  $% 3. No surface tension
	Ronney Killer, 2019, Incompressible and non-viscous is the correct answer.
	Shubham, 2020, Option A is the correct answer.
	Masum, 2020, Non compressible and non viscous.
	Haseen Ullah, 2021, I think Incompressible is the correct answer.
	Muzafar Ahmad Wani, 2021, Option A is 100% correct. $%  $% Ideal fluid is incomprehensible, non-viscous, irrotational etc.
	Qazi Asad, 2021, Option A is the correct answer.
	Mjm Gcek, 2021, Option A is correct as ideal fluid or real fluid all are incompressible.
	Khattak Khan, 2021, An ideal fluid is a fluid that has several properties including the fact that it is : $% Irrotational - the flow is smooth, no turbulence. $% Nonviscous - (Inviscid) fluid has no internal friction.



1315. Equation of continuity of flow is based on the principle of conservation of
	Tesfaye, 2017, Please give a description.
	Adeel Rehman, 2020, Continuity Eqtn-->relates mass rate of flow along a stream line. $%  $% Bernoulli Eqtn-->expresses the relationship between work and energy.



1316. Pick up the correct statement from the following :
	Akhila, 2018, Q for triangular notch is 2/3.Cd.L.√(2g).H^(3/2). $%  $% Q for rectangular notch is 8/15Cd.√(2g).tan(θ/2).H^(5/2).
	Prashant, 2018, For triangular notch is  8/15Cd.√(2g).tan(θ/2).H^(5/2). $%  $% For rectangular notch is 2/3.Cd.L.√(2g).H^(3/2).
	Prashant, 2018, For triangular notch is  8/15Cd.√(2g).tan(θ/2).H^(5/2). $%  $% For rectangular notch is 2/3.Cd.L.√(2g).H^(3/2).



1317. The flow in open channel is said to be subcritical if the Froude number is
	Savan Maniya, 2018, The Correct answer is C.
	Anomi, 2018, Sub-critical less than 1. $% Critical equal to 1. $% Super-critical greater than 1.



1318. In C.G.S. system the unit of visocity is
	Makar, 2017, How? Explain.
	Mahi, 2017, So what is SI unit ?
	Ram, 2018, 1poise = 0.1 pascal-sec.
	Mayuri, 2020, SI unit of dynamic viscosity is Pascal sec which is N-s/m^2. $% Cgs unit poise, $% 1pascal sec=10poise.



1319. The ratio of the percentage error in the discharge and percentage error in the measurement of head, over rectangular notch, is
	Sanjeev Kumar, 2016, Over rectangular notch it is 1.5. $%  $% Over triangular notch it is 2.5.
	Karan, 2017, No the correct answer is A.
	Chhaya, 2017, Yes, right @Sanjeev.
	Rkrana, 2018, Given answer is right dQ/Q = 3/2 *dH/H.
	Sandeep, 2021, Yeah, you are correct, thanks @Sanjeev.



1320. In steady flow, which one of the following changes with time
	Seshu, 2019, Please explain the answer.
	Balaraj, 2019, Steady flow is one in which all conditions at any point in a stream remains constant with respect to Time.
	Opsc Aee, 2019, Steady flow - density, velocity, pressure do not change with time. $%  $% Unsteady flow - density, velocity, pressure change with time.



1321. The notch angle for maximum discharge over a triangular notch, is
	Dileep Kumar Dindi, 2019, For triangular notch Q = (8/15)Cd * 2gtan(θ/2)h^(5/2).  $% For Max discharge θ/2 should be Max. $% And θ/2=45. $% So θ =90
	Roy, 2019, Thanks for the answer @Dileep.
	Rajesh, 2019, @Dileep. $%  $% If θ = 120 degree then tan(θ/2) = tan60. $%  $% And as we know tan60> tan45, then accordingly answer should be 120.
	Vikas, 2020, Answer should be 60°.
	Vikas, 2020, For triangle notch included angle is 90° and for half-hexagon or trapezoidal, it is 120°.



1322. In an inclined pipe, the pressure difference at its two ends is due to



1323. Weber number is the ratio of inertia force to
	Tariq Meo, 2019, Inertia force/ viscous force = Reynolds num. $% Inertia force/ Gravitational force = Froud num. $% Inertia force/ Elastic force = Match num. $% Inertia force/ surface tension = weber num.
	Ali Umair, 2020, @Tariq Meo. $%  $% Nice explanation.



1324. Though angle of deviation of liquid is more in internal mouth piece, the contraction of the jet, is
	Gary, 2019, I think option B is correct. $%  $% How contraction can be more in internal mouthpiece rather than an external mouthpiece.
	Dipunku, 2020, Please explain.
	Pkota, 2021, Coefficient of contraction: $%  $% A) for internal mouthpiece (running free) $% Cc=0.5,Cv=1. $%  $% B) For int. Running full Cc = 1, C v= 0.707. $% C) External mouthpiece Cc = 1, Cv = 0.855.



1325. The width of a weir with end contraction, is
	Dinesh Hudda, 2021, Due to end contraction reduce crest length by 0.1H from each side of length.  $% For rectangular; $% Effective length = L - 0.2H.



1326. The ratio of time for completely emptying the hemispherical tank and circular horizontal tank of equal radii both fitted with similar orifices at their bottoms is :
	Berhampur, 2020, Please explain anyone.



1327. An open container filled with water is moved vertically upward with a uniform linear acceleration. The pressure at its bottom will be
	Adeel, 2020, Explain the answer.



1328. The gases are considered incompressible if Match number is
	Rinku Meena, 2017, If mach no is < 0.3 effect of compressibility is neglect.
	Sunil Baderia, 2018, It is said that gases that fall under M < 0.3 are said to be incompressible. $%  $% And gases that are M > 0.3 are said to be compressible.
	Amjad Ali, 2020, Reason: $%  $% If mach number for gases is less than 0.3 then Compressibility of gases is approximately zero.



1329. The flow in which each liquid particle has a definite path and the paths of adjacent particles do not cross each other, is called
	Rahul Khan Btc, 2019, Stream line flow is also known as laminar flow or straight line flow.
	Amjad Ali, 2020, Streamline flow and laminar flow are the same things.



1330. To replace a pipe of diameter D by n parallel pipes of diameter d, the formula is
	Mahesh Sinh, 2017, We derive it n = (D/d)^5/2.
	Pogisidave, 2018, Please, Can you elaborate the formula?
	Vishal Sharma, 2018, If Length is constant then,  $% D^2/5 = nd^2/5,  $% d = D/n^5/2.
	Riju Das, 2020, Here , h and l will be same. $%  $% flQ^2/12.1D^2= (n) flQ^2/12.1d^2.  $% So, d=D/n^(2/5).
	Shubham Yadav, 2021, Here discharge through Pipe of dia 'D'= Q. $% Discharge through one pipe of dia 'd'= q. $% So, Total discharge through 'n' no. Of pipes od dia 'd' = n*q $% Now if we replace the big dia pipe  by small dia pipe then discharge has to be same  $% Q=nq. $%  $% Squaring both sides $%     Q^2=n^2.q^2 ----------> (1) $% Put the value of Q^2 and q^2 by using formulae.  $%  H=(flQ^2)/(12*D^5) $% Value of f, l and h will be same for both pipes for the same discharge. $% So, eqn 1 becomes; $% D^5 = n^2*d^5. $% d = D/n^(2/5).



1331. The dimensionless parameter not applicable to flowing liquids, is
	Ankit, 2016, Kinematic viscosity has dim of cm2/sec, so how it is dimension less parameter?
	Thiru, 2016, I think the answer is E, Other Parameters have Dimension.
	Nanak, 2016, Why the answer is D.
	Chhaya, 2017, Friction Factor is only Dimension less.
	Mahesh Sinh, 2017, The kinematic viscosity is dimension less.
	Rahul Jha, 2017, Only kinematic viscosity has dimensions.
	Vishwas, 2017, Option D is correct. Kinematic viscosity is dimensionless.
	Harshad, 2017, Answer Should be B, because weber no is related to surface tension, not related to flowing fluids.
	Prashant, 2017, Yes, you are correct @Harshad.
	Roy, 2017, Only pressure coefficient is dimensionless here.
	Raj, 2017, As per my knowledge, dimensionless parameter not applicable to flowing liquids. But kinematic viscosity has dimension so except kinematic viscosity dimensionless parameter application for all option. $%  $% Correct answer is D.
	Sunny, 2018, Answer is c (pressure coefficient).
	Palke, 2018, Kinetic viscosity has dimension (cm^2/s).
	Pavi, 2019, Option D is right, all are dimensions less except viscosity.
	Salahuddin, 2019, It's a pressure coefficient.
	Priyanka, 2019, Right @Pavi.
	Shubham, 2020, The correct Answer is C.
	Amitshradha, 2020, The correct answer is pressure coefficient.
	Pummy Jain, 2020, The answer will be B. $%  $% As all other parameters, we use in fluid flowing. $%  $% Reynolds num, pressure coefficient in flow chart, friction factor in headless, kinematic viscosity ney and also all parameters other than kinematic viscosity(m^2/sec) are dimensionless.
	Khattak, 2020, The answer given is right because here asked about dimensionless not applicable to, so the only option is kinematic viscosity which has unit m2/sec, all another are dimensionless.
	Sudip Timalsena, 2020, Question clearly stated that 'DIMENSION LESS parameter NOT APPLICABLE'. $%  $% So the only option having dimension is kinematic viscosity, So, the answer is 'D'.
	Pavan, 2020, How? Explain @Sudeep.
	Dhenge Shahadeo, 2021, Option D. $%  $% Kinematics viscosity = dynamic viscosity/density. $%  $% Other options have not any unit. $%  $% It means that other dimensionless parameters.



1332. The pressure rise due to water hammer depends upon



1333. In a two dimensional flow if the components of the velocity are u = ax ; v = by, the point where no motion occurs, is known as
	Vivek Yadav, 2018, The same question has came in SSC JE and they are saying that its answer will be none of these. Please tell me, anyone, which is correct.
	Amar, 2018, A point in the flow, where the velocity of fluid is zero is called a stagnation point.
	Akkki, 2018, Stangnation point where velocity is zero.
	Akhil, 2019, Actually this represent a hyperbolic curve whose equation is xy = c.  $%  $% When you will look at hyperbolic curve it will never be passing through the origin and moreover, it will also not touch x and y axis. So such a point is not possible. Hence option E should be the answer.



1334. Most economical section of a circular channel for maximum velocity, is if,
	Samantha, 2015, Should we memorize these.
	Sanju, 2018, Highest speed at depth 0.81D.
	Priya, 2018, As per my knowledge; $%  $% 1. Depth of water=0.95d. $% 2. R=0.286d. $% 3. Perimeter=2.6 d.
	Sagar, 2018, The depth of water =0.95d is for maximum discharge they ask for maximum velocity and its 0.81d.
	Amar, 2018, Answer All of the above correct. $%  $% Then the discharge through a channel the maximum. $%  $% 1. The depth of water=0.95d. $% 2. R=0.286d. $% 3. Perimeter=2.6 d. $%  $% The velocity through a channel circular section is max.  $% depth of water = 0.810 diameter. $% hydraulic mean depth = 0.304 diameter. $% wetted perimeter = 2.245 diameters.



1335. For a most economical rectangular channel, the width of the channel must be
	Makar, 2017, In rectangular channel why the width is double?
	Jiren, 2017, The discharge through a channel of rectangular section is maximum when its breadth is twice the depth.
	Satyawan Radheshyam, 2018, Why it is so? $%  $% The width of the rectangular section should be half to the depth of the section. So C is the correct answer.
	Kr Sheela, 2018, I agree @Satyawan.
	Gaurav, 2018, Ans B is correct. $%  $% The Depth of flow should be twice (discharge). $% Depth will be half for hydraulic depth or radius.
	Shahbaz Bashir, 2021, B is the correct answer. $%  $% As for most economical rectangular section,  $% D =b/2 => b = 2D.
	Muhammad Hashim, 2021, D is the correct option. Since the condition B=2d is for max discharge not for most Economical sections. $%  $% For later HMD=1/2 depth.
	Dani, 2021, According to Discharge of the rectangular channel given Ans is correct but $%  $% According to the Most economical rectangular channel, the Ans Should be C. $%  $% Reference: R.S Khurmi.



1336. If a1 and a2 are the cross-sectional areas of a tank and orifice, h the height of water level in tank above the centre of the orifice, the velocity of approach is given by
	Anil, 2017, Option D is also correct answer.



1337. The hydrostatic force acts through



1338. In an inclined position, a venturimeter records
	Pkota, 2021, Why? $%  $% As venturi meter gives the rate of flow in the formula. $% Q is proportional to'2gh and by inclination, h will be affected i.e. Q also affected.
	Dinesh Hudda, 2021, Q is independent on the orientation of venturimeter.



1339. If E1 and E2 are the specific energies at the start of back water curve and at the maximum rise of water respectively and ib and ie are the head slope and the energy line slope respectively, the length of back water (L) is given by
	Solti Raja, 2019, Please explain the answer.
	Bhawna, 2019, Please explain.



1340. The velocity of flow at the critical depth (hc) is called critical velocity (Vc) which is equal to
	Naveed Kamal Mareat, 2020, V^2 /g. $%  $% So, B is the right answer.
	Ketema Feye, 2020, B is the Right answer but, I think this formula is done only for the rectangular channels.



1341. In a short cylindercial external mouthpiece, the venacontracta occurs at a distance from the outlet of orifice equal to
	Sanju, 2017, It should be one-half the diameter.
	Shanaya, 2017, Please tell me the correct answer with the clear explanation.
	Roy, 2017, Yes, it's half of the diameter.
	Kingio, 2018, Yes, it is more or less about the half of diameter of orifice.
	Akkki, 2018, The given answer is correct. It is 1/4 the dia.
	Aadarsh, 2019, According to me, it is 1/5 D.
	Aadarsh, 2019, It's 1/2 of diameter of orifice.
	Amjad Ali, 2020, The answer is correct its 1/4.
	Adeel, 2020, It is two-third of orifice diameter.



1342. If the pressure at the inlet of a pipe is 90 kg/cm2 and pressure drop over the pipe line is 10 kg/cm2, the efficiency of transmission, is
	Anand Singh, 2014, P1 = 90 kg/cm2. $% P2 = 10 kg/cm2. $%  $% Efficiency = 90-10/90*100 = 88.8.
	Navneet, 2017, What's the formula?
	Fikie, 2017, Efficiency = (Net  pressure / initial pressure )*100%.
	Kshv, 2018, But how is it possible because maximum power transmission is limited to 66.67%.
	Pavi, 2019, @Navneet. $%  $% H-hf/H * 100.
	Karpi Basar, 2019, 90-10/90 = 0.8888. $% 0.8888*100 = 88.8%.
	Vivek, 2021, Yes, right @Pavi.



1343. Pick up the incorrect statement from to following regarding triangular notch :
	Sarkaar, 2019, Please explain the answer.
	Suhsb, 2019, I think the ventilation should be necessary. Please explain the given answer.
	Pavan, 2020, Option B may be the appropriate answer as we need angle also with H value.
	Rmn, 2020, Optn C is correct. Ventilation required only in the rectangular Notch.
	Pkota, 2021, Option C is the correct answer.



1344. The flow in a channel is said to be non-uniform, if
	Chahya, 2017, How possible? B & C is contradicting each other.
	Priya, 2018, Yes, it's not possible, agree @Chahya.
	Rohan, 2018, I think Option (A) is correct.
	Sucha, 2018, Not more or less. It Should be equal. $%  $% D is correct.



1345. If H is the depth of water retained by a vertical wall, the height of centre of pressure above the bottom is
	Viky, 2016, Why not H/3?
	Vishu, 2016, Yes, it is H/3.
	Hail Hydra_Ulics, 2016, Why is the answer H/3?
	Shailendra, 2016, Answer is H/3.
	Vatsal Patel, 2016, H/2 answer is right because pressure acting at the vertical wall so that half of that depth. But if dam (triangle) that time it's pressure acting at h/3.
	Krrish, 2017, H/3 is the answer, because pressure increase with depth of water then the pressure curve made in a triangular shape.
	Siddharth, 2017, I agree with you @Krrish.
	Jeevan, 2017, As per my knowledge, the Answer should be H/3. Center of gravity of wall may be H/2.
	Krunalsingam, 2017, I am also agree @krrish.
	Akshay, 2017, CG will be at H/3. It means CP must be below the CG hence it is H/2.
	Sudipta, 2017, The Answer should be 2H/3. As center of pressure= H/2+{(bH^3/12)&div;(bH*H/2)}=2H/3.
	Naveen Kallan, 2017, From the bottom it's H/3. $%  $% From the free surface of water it's 2H/3.
	Nayan, 2017, It's center of pressure, H/2 to surface and H/2 to bottom. $%  $% And centroid is 2H/3 below surface.
	Vimesh, 2018, Not given that total pressure. Only center of pressure from water. Than h/2 is the right answer.
	Abhinay, 2018, It's 2h/3.
	Priya, 2018, It's h/3.
	Ajay, 2018, Thanks for the better explanation @Akshay.
	Suresh, 2018, From top it should be 2/3h. $%  $% From bottom 1/3 h.
	Kvl, 2018, The correct Answer is H/2 because CP is always Bellow the CG.
	Muhammad Atiq, 2019, Pressure of water acts in a triangular manner, so its answer is H/3.
	Hemant Kumar, 2019, Answer is H/3.
	Rahul, 2019, H/2 is correct because when depth is very high or not given then the centre of pressure is acting on the centre of gravity.
	Sandeep, 2019, Both A and B are correct. $%  $% A is for triangle and B for the rectangle from the bottom.
	Harry, 2019, For vertical wall - from the top - 2h/3 ,  from bottom - h/3. $% For a triangle with the base at free surface - h/2. $% For a triangle with the apex at free surface - 3h/4. $% For circle touching free surface - 5h/8.
	Pawan Pandey, 2020, H/3 is the correct answer.
	Alok, 2020, H/3 is the correct answer.
	Pinku, 2020, Apply the law of hydrostatic pressure. The pressure diagram will be traingle in which the hydrostatic force passes through the cg i.e h/3frm bottom.
	Siddhant Ghuge, 2020, For Trangular H/2. $%  $% For Rectangular 2H/3.
	Viney Bhatia Batala, 2020, Centre of pressure h/2. $%  $% Centre of gravity h/3.
	Rohitash Kumar, 2021, We know that h = x + Ig/Ax.  $% h = H/3+BH * 3/36/BH/2H/3. $% h = H/3+H/6, $% h = H/2.
	Mjm Gcek, 2021, Correct, Thanks @Rohitash.
	Abdullah Khan, 2021, H/2 is the correct answer. The question is related to the center of the vertical wall not to center of gravity or point of application.



1346. For maximum power transmission through a nozzle, (where hf is the head lost due to friction)



1347. Mass density of liquid (ρ) is given by
	Prakash, 2017, How? Explain.
	Anoms, 2017, I didn't understand how option D is correct? $%  $% Kindly explain it. Someone should come and make videos of are. Agor solution with an explanation.
	Ravindra, 2018, It is Only A.
	Priya, 2018, It should be A.
	Bacha Khan, 2018, How? Give me an explanation.
	Jagdish, 2018, I also agree, the correct answer should be A.



1348. 'Flow net' can be drawn only if the flow is
	Zing Zing, 2018, Not understanding the question, please clarify the question.
	Aadarsh, 2019, The Correct Answer is 'D' None of these.
	Aamir, 2019, Distortion means what? please explain the given answer.
	Nishu, 2020, D is correct. As in case of distortion flow, eddies will be generated & eddied cannt be identified by FlowNet.
	Pinku, 2020, Flow net used darcy law which is defined for laminar flow in soils i.e. Reynold no <1.
	Pkota, 2021, Yes, right @Pinku.



1349. The flow in open channel is laminar if the Reynold number is
	Makar, 2017, Why is the option A correct? Explain it.
	Suri, 2018, Flow in open channel it should be less than 500.
	Ajay Kumar, 2019, The Reynolds number should be less than 2000 why options B is not correct?
	Opsc Aee, 2019, - For OCF. $%  $% Laminar (<500). $% Transitional (500-1000). $% Turbulent (>1000). $%  $% - For pipe. $%  $% Laminar (<2000). $% Transitional (2000-4000). $% Turbulent (>4000).
	Vijilesh Tk, 2020, @Opsc Aee  $%  $% Well explained, Thanks.
	Pintu, 2021, Well explained, Thanks all.
	Naren, 2021, For OCF:  $%  $% * Laminar (<500). $% * Transitional (500-1000). $% * Turbulent (>1000). $%  $% For pipe:  $%  $% * Laminar (<2000). $% * Transitional (2000-4000). $% * Turbulent (>4000).



1350. Centre of buoyancy is
	Makar, 2017, Buoyancy is acted some displaced point so B and C are correct.
	Arun, 2017, Yes, both B & C are correct.



1351. The intensity of pressure due to sudden closure of a valve of a pipe in which water flows with velocity v, is directly proportional to :
	Dheeraj, 2020, Please, anyone, explain.
	Nabin, 2021, The right Answer is B.
	Liki, 2021, How ? Explain the answer.
	Bk Prajapati, 2021, For sudden closure of valve in elastic pipe pressure head= v/g square root of K/density* (1+DK/ET).



1352. The initial difference between liquid levels of two identical cylindrical vessels having their area of cross-section A, is H. Flow time T from one vessel to another through an orifice having coefficient of discharge Cd and area a will be
	Vishal Babu Jaiswal, 2018, Cc =Cd/Cv. $% And Cc=A/a, and  Cc=V/√(2gH). $% V= H/T. Put all value then find T this value is option B.
	Chander Shekhar, 2020, T=2*A(√H1-√H2)/Cd*a*√2*g . $% 1st vassel empty comletly to fill the 2nd vassel then H2=0 $% then; $% T=2*A√H1/Cd*a*√2*g.



1353. Total energy line is
	Krrish, 2017, TE line = Sum of Pressure, datum and kinetic Head.
	Ravindra, 2018, Here, TE = PE + KE + DE.



1354. For critical flow, the Froude number is :
	Suda, 2020, Subcritical less than 1. $% Critical equal to 1. $% Supercritical greater than 1.



1355. A stepped notch is a combination of
	Kiran Chavhan, 2021, Please explain in detail.



1356. The centre of pressure of a vertical plane immersed in a liquid is at
	Gajan Rana, 2017, It's below the controid.
	Rathod, 2017, And the depth of centre of pressure from the liquid surface, $%  $% where $% A = Area of immersed surface, $% x (bar) = Depth of centre of gravity of the immersed surface from the liquid surface, and $%  $% Ig = Moment of inertia of immersed surface about the horizontal axis through its centre of gravity.
	Mona, 2018, It's below the centroid.
	S Guri, 2018, Below the centroid is for inclined face.
	Ankit Kumar, 2018, 2/3 the height of the immersed surface. $%  $% So, option D is right.
	Irfan Sayyed, 2020, 1/3 height from bottom.



1357. The ratio of the hydraulic radius of a pipe running full to the hydraulic radius of a square section of a channel whose side is equal to the diameter of the pipe, is
	Madhu Reddy, 2017, I think the answer is option A.
	Minesh Rathore, 2017, Yes, the answer should be A. $%  $% Because hydraulic radius for pipe and square section is the same D/4. So, the ratio is 1.
	Gurpreet Singh, 2017, Absolutely the answer is A.
	Manjunath, 2017, Answer is 3/4 since the wetted perimeter in case of a square is 3d and not 4d.
	Saleem Ansari, 2017, Both hydraulic radius is not same. $%  $% Circular hydraulic radius = D/4  and $% Square Hydraulic radius = 3/D. $%  $% So Ans is D.
	Roy, 2017, D is the correct answer. I agree.
	Nayan, 2017, For circular pipe hydraulic mean depth = d/4. $% For the square section of channel hydraulic mean depth=d/3. $% Ratio of the circle to square= 3/4.
	Sujeet, 2017, It should be 4/3. $% As the hydraulic radius of circle = d/3. $% Hydraulic radius of square = d/4.
	Akshara Sharma, 2018, Can anyone tell me how the hydraulic radius is 3/D for square?
	Suns, 2018, Hydraulic radius of square is D/3.
	Archana Shaji, 2018, Question asked is square channel section.  $%  $% So the wetted perimeter for square channel section is 3d. Hence hydraulic radius = d^2/3d = d/3. $%  $% Hydraulic radius of the circular pipe is d/4. So the correct answer is 3/4.
	Ajith, 2018, Here it is a square channel, not a square pipe so perimeter is only 3d.
	Jay, 2019, @All. $%  $% But remember the question says that the square section is running full to the wetted perimeter should be 4D and not 3D and by this, the answer should be A.
	Abhik, 2019, D is correct, i.e R = A\P.
	Hasmukh Parmar, 2019, The hydraulic radius of circle = d/4. $% The hydraulic radius of square = d/3 ( because here we are considering wetted perimeter so two sides and bottom are wetted but top width is not wetted because it's open in the atmosphere) $% So, correct answer is = d.3/d.4 = 3/4.
	Ketema Feye, 2020, Agree, D is the correct answer.
	Dhiru, 2021, A is the correct option. $%  $% So, R = d/4-d/4 = 1.



1358. A body of dimensions 1.5 m x 1.0 m x 2 m weighs 3000 kg in water. Its specific gravity is
	Shailendra Kumar, 2016, It is exactly 1.0 not 1.1. $%  $% Sp gr. = density of object &div; density of std fluid. $%  $% Therefore density of object is 3000/3 = 1000. $% Hence sp gr = 1000 &div; 1000 = 1.
	Madhu, 2016, Yes, It is 1. Agree @Shailendra.
	Xyz, 2017, It is greater than 1.
	Anil, 2017, Yes, I too agree @Shailendra.
	Xyz, 2017, Weights in water means buoyant force acting on it.
	Dinesh Prasad Sao, 2017, Water specific gravity is always 1.
	Babar, 2017, How it is 1.1?
	Amit Sharma, 2017, Here, mass/volume is density =1000kg/m'3 specific density is 1000/981 = 1.1.
	Makar, 2017, I agree @Amit.
	Wazeer Baloch, 2017, Specific Gravity is not about to density to density. It's about sp weight to sp weight.  Density is 1000unit but Sp Weight is 981. $%  $% Now, $% 1000/1000 = 1 answer is correct.
	Arya, 2017, Density = mass/volume. $%  $% Density of the body = 3000/(1.5*1*2) = 1000kg/m^3. $% Sp.gravity of the body = density of the body/density of water. $% Sp.gravity = 1000/1000 = 1.
	Ravindra, 2018, C is the correct option.
	Ajay, 2018, I think it should be 1 because 981Value is not used anywhere.
	Pavan, 2018, 1000/981=1.01 not 1.1  $%  $% So, please correct the answer.
	Viral, 2018, Weight in air=weight in water + buoyant force. $% =3000+(sp gr of water* g * volume displaced). $% =3000+(1000*10*3). $% =33000 N. $%  $% So, $% Mass of body=33000/10. $% =3300 kg. $%  $% Density=3300/3. $% =1100. $%  $% Sp gr.=1100/1000. $% =1.1.
	Myank, 2018, I think if the weight is in kg then G=2.0 but it is in N then G=1.1.
	Sadulla, 2018, 1.0 is the correct answer.
	Abhik, 2019, It should be 1.01.
	Abhik, 2019, The Density of object is mass/volume not weight/volume.
	Indicaking, 2019, Right. @Amit.
	Ankit Raj, 2019, Thanks all for explaining it.
	Shreyagiha, 2020, Weight in water = Weight in air -  Buoyant force. $% =>3000 = W- 1000*(1.5*1*2) = W-3000. $% =>W = 6000kg. $% Specific Gravity = 6000/1000*(1.5*1*2) = 2. $%  $% Weights should be expressed in N and mass in kg. As in the question, weight is expressed as kg, I have also taken it in kg. Even if it is converted to 'N', the answer would be the same 2. because g will be cancelled in both the cases
	Mjm Gcek, 2021, The Answer should be only 1.



1359. An orifice is called a large orifice if water head, is
	Amit Sharma, 2016, Less than 5 times the depth of the orifice.
	Priya, 2018, It is Less than 5 times the depth of the orifice. H<5d.



1360. When a liquid rotates at constant angular velocity about a vertical axis of a rigid body, the pressure
	Sajith, 2018, Please explain the answer.
	Kiran, 2020, Pressure= (3.14* Density of fluid * Angular velocity^2 * Radius^2) / (4g).
	Hari, 2020, Can Anyone explain this?



1361. For the two dimensional flow, the stream function is given by ψ = 2xy. The velocity at a point (3, 4) is
	Mahendra, 2014, u = dy/dx = 2y = 2*4 = 8. $% v = dy/dy = 2x = 2*3 = 6. $% |v| = (8^2+6^2)^1/2 = 10.
	Uday, 2017, How it will? $%  $% Please explain briefly.
	Arya, 2017, How will find velocity. I got the value of u & v?
	Nayan, 2017, Differentiate the stream function with X and Y and get value of u and v.
	Yatu, 2018, How it's become 10?
	Anomiiee, 2018, Well said, Thanks @Mahendra.
	Pawan, 2019, Thanks @Mahendra.
	Nileshkumar Mali, 2019, D/DX=2y=2x4 = 8 $% D/Dy=2x=2x3 = 6. $%  $% Take under root=(√8^2+6^2)= √100=10M/sec.
	Srj, 2020, For Ψ=3xy velocity=2,3. $%  $% Diff w.r.t x=3y. $% Diff w.r.t y=3x. $% 3*2=6, $% 3*3=9. $%  $% √(6^2+9^2) $% √(36+81) $% √117. $%  $% So, the Answer is.10.82.
	Priyanka, 2020, Accurate and understandable explanation. Helpful when your have some doubt. $%  $% Thank you.
	Triguna Sethi, 2020, U=dy/dx=2y=2*4=8. $% V=dy/dy=2x=2*3=6. $% Ivl=lv^+u^l=l8^+6^l=l64+36l^1/2=(100)^1/2= √(100)=10.
	Shehbaz, 2021, Thanks all.
	Deepankar, 2021, @All. $%  $% U = -d(psi)/dy. $%  $% And, V= d(psi)/dx. $%  $% So that makes U = -6 and V = 8.
	Apcivilian, 2021, You're absolutely right, Thanks @Deepankar.



1362. A floating body attains stable equilibrium if its metacentre is
	Vijay, 2017, It's always above the Centre of gravity.
	Kiramat Ullah, 2021, Floating body. $%  $% Stable= M lias above C.g. $% Unstable = M lies below C.g. $% Neutral = M concides C.g.



1363. The unit of the viscosity is
	Shailendra Kumar, 2016, First, mention the viscosity what it is dynamic viscosity or kinematic viscosity? $%  $% For dynamic viscosity the answer is B. $%  $% For kinematic viscosity the answer is D.
	Puneet, 2018, Why not option A?



1364. Water flows through a convergent mouthpiece of diameter 4 cm at convergence under a head of 3 metres. If the maximum vacuum pressure is 9 metres of water, the maximum diameter of divergence, to aviod separation of flow, is
	Parth Vyas, 2017, Please explain it.
	Jiren, 2017, Use this formula. $%  $%  $% a1/a2= (1+(Ho-Hc)/H) after putting the given values the answer is 2cm.
	Mallu, 2017, Explain clearly.
	Garry, 2018, @Jiren. $%  $% In the answer there should be a sign of unroot also.
	Saeed, 2018, Anybody explain this please.
	Saurav, 2018, Anyone can explain me clearly?
	Meera, 2018, a/ao = √1 + (Ho-Hc) /H.  $%  $% In question (Ho-Hc) = 9, $% So √ 1+9/3, $% √ 4 = 2, $% I.e., ao/a = (π/4)*(4 square) /(π/4)*(d^2).  $% LHS = RHS. $% 16/d^2 = 2.  $% But I am getting 2 √2. $%  $% Please anyone clear my doubt.
	Sumanta Dey, 2019, Answer is 4√2. $% a1/a2= √(1+ HV/H). $%  $% a1 =area of diverging. $% a2=area of converging(4 cm dia given). $%  $% H(atmosphere)- H(absolute at vena contracta) = Hv = 9m. $% H =  head of liquid over the mouth piece = 3m.
	Devika, 2020, Please explain this.



1365. An ideal fluid
	Rahul Khan, 2019, The fluid which has No viscosity incompressible and having No surface tension is called ideal fluid practically this types of fluids does not present in nature.



1366. In C.G.S. system the units of kinematic viscosity, is
	Mefs, 2017, Kinematic viscosity: stoke. $% Dynamic viscosity: poise. $% All in cgs units.



1367. A triangular notch is preferred to a rectangular notch because
	Ali, 2020, I think D is correct answer.
	Mjm Gcek, 2021, Please eplain the answer.



1368. In case of laminar flow through a circular pipe,
