3297. A district road with a bituminous pavement has a horizontal curve of 1000 m for a design speed of 75 km ph. The super-elevation is
	Yugananth P, 2013, e = V^2/225R. $%  $%   = 75 * 75/(225*1000). $%  $%   = 1/40 (or). $%  $%   = 1 in 40.
	Edgar Muhangi, 2016, I thought traffic survey is for determining the volume and type of vehicles that use the facility i.e. the road. $%  $% My best option would be A.
	Makush, 2017, According to me, A and B might be the answers because determining the maximum load could help to traffic regulation in terms of avoiding overloading.
	Makush, 2017, In other the types of vehicle may be considered in determining cross slopes or superelevation, which will affect surface water characteristics.
	Haroon, 2018, Drainage is also issue eg. Hyderabad.



3312. The formula for calculating the depth of concrete pavements suggested by Goldbeck, is
	Mohd Imran, 2014, What is w and sigma max?
	Zakir Hussain, 2015, W is wheel load and sigma max is unit stress in tension.
	Ramu, 2017, How unit stress can be determined? $%  $% Stress=load/area.
	Sandeep Kumar Prajapati, 2017, What is w and sigma max?
	Rahul Kumar Singh, 2018, Why taking 3w? Please explain.
	Amar, 2018, W= wheel load. $%  $% It's also called older theory.
	Vijay Muzalda, 2019, Please explain the notation of the given answer.



3313. If A is the projected area of a vehicle in square metres, V is speed of the vehicles in kilometres per hour and C is a constant, then the wind resistance R to the moving vehicles, is given by
	Nikhil, 2016, What is CAV and AV square?
	Samm, 2016, Please explain this formula.
	Silambarasan, 2016, Please explain the solution.
	Shravan Dixit, 2016, @Samm. $%  $% A is the transverse cross-sectional area of vehicle and v is the velocity of the vehicle.  $% So wind resistance is directly proportional to A and square of velocity constant C is introduced to have a relationship between R, A and V.
	Happpy, 2016, Thanks @Shravan.
	Hossam, 2017, How can we calculate C?
	Rajeshnithin, 2018, C is the constant. $%  $% In case does not mention to take 1 value.
	Mohit Sharma, 2018, What is CAV?
	Swar, 2019, Thanks @Shravan.
	Surendra Paithane, 2021, R = CAV^2. $% C = co-efficient of drag (0.6), $% A = frontal Area of vehicle,  $% V = velocity of the vehicle.
	Khelan Banjare, 2021, Thanks.



3314. The usual width of parapet walls along Highways in hilly region, is
	Ankush, 2016, Why? Explain the reason.
	Bhagchand, 2016, Please give the correct answer. $%  $% According to me 70 to 75 cm above the berm level.
	Haylee, 2017, In Our Road Project, the width of the Head Wall usually 60 cm, according to the ERA Manual.
	Rohit Gupta, 2017, @Haylee. $%  $% ERA MEANS?
	Tesfahun Bihon, 2017, @Rohit ERA means Ethiopian Road assocition.all most it is coppy from ACI code.
	Tesfahun Bihon, 2017, @Rohit. $%  $% ERA means Ethiopian Road assocition. All most it is coppy from ACI code.
	Vijay Khainayak, 2019, It's 50cm according to Eminem code of Roads (ECR).
	Pavan, 2019, Why 60? please explain.
	Shubham Chaware, 2019, 60 cm and the length of the parapet wall 1-3 m.
	Jp Mahanta, 2020, Specifications of parapet. $%  $% Height 0.6m. $% Width 0.45m. $% length 2 to 6m. $% spacing 0.75m.



3315. The road foundation for modern highways construction, was developed by
	Abhishek, 2014, Road construct sequence: $%  $% Romans --- Tresaguet (France) , Metcalf (England) --- Telford (England) --- John Macdam (London).
	B.Shukla, 2018, It's macadam.
	Taran, 2018, Telford said to provide slope at bottom layer but macadam used to provide slope on all the layers of pavement which is used presently. Example. WBM, Wet mix macadam etc.
	Tinkal Kumar, 2020, Option C should be the correct answer.
	Vivek, 2020, Macadam is the correct answer.
	Pr Aee, 2021, Yes, agreed with all. $%  $% Macadam is the correct answer.
	Gurjant Singh, 2021, Given answer is correct they both are responsible for modern highway.



3316. If N is deviation angle the length L of a parabolic vetical curve for overtaking sight distance S, is
	Chandu, 2018, For SSD NS^2/4.4.
	Ali Raza, 2019, The Correct answer is C only.
	Pramod, 2019, Answer E is correct. $%  $% Because the formula for SSD IS g*s2*/9.6 (if s is smaller than L). If s is greater than L 2s-9. 6/g. $%  $% And Non-SSD formula is g*s2/4 (if s is less than L) if s is greater than L 2s-4/g.
	Debu, 2019, Only C is correct.
	Sanjeev, 2021, The Correct answer is both options B and C.



3317. If C is basic capacity per lane, V is velocity in km/hour, S is stopping distance pluslength of the vehicles in metres, the formula  is applicable to
	Mageswari, 2013, Option D will be correct since the above formula related to single lane roadway.
	Amar, 2014, Option D will b correct it is related to single lane (vehicle/hr/lane).
	Naveen, 2015, The capacity of single lane roads only.
	Prashant Pal, 2016, c = 1000v/s veh./hour/lane
	Pinku, 2016, The answer must be D because basic capacity means reaction distance is zero, means it must be two-way what ever the number of lanes.
	Kvd, 2017, Above given formula for ideal capacity i.e., for two roads of same physical features will have same basic capacities. So given ans i.e., option C is correct.
	Garry, 2018, Formula is valid for the 1 directional flow per lane not for the 2 lanes because the dimensions are vehichles per hour per meter.
	T S, 2019, At least 2 lanes for the exclusive use to traffic moving in one direction. $%  $% So, Answer C is correct.
	Kajal Tomar, 2019, Although, 2 lane but direction is 1 way so its correct.



3318. Width of vehicles affects the width of
	Anuj Nehra, 2017, How shoulders are affected by the width of the vehicle.
	Anil Giri, 2019, Width of pavement, shoulder and parking facilities.
	Nitin, 2020, Shoulder used by vehicle for resting & repairing purpose.



3319. First operation during the detailed survey of a hill road, is
	Vinod, 2017, Anyone explain ?
	Sudheer, 2018, What is sticking of ground? Anyone please explain.
	Hisham, 2020, Staking means setting out.
	Dipu Bunku Rose, 2020, For building what will be the answer?



3320. The period of long term plan for the development of roads in India, known as Bombay Plan (Aug. 1958), is
	D Vikram, 2015, Second 20 year plan (1961-1981).
	P.Dubey, 2015, Nagpur road plan is first road plan in India in 1945-1965 in a 20 year plan.
	Dattatraya, 2016, @Mr dubey its not 1944-1965 its from 1943-1963 but it was completed at 1961 only.
	Gaurav Kango, 2016, Right @Dattatraya. $%  $% It's 1943 - 1963 and it was completed at 1961. $% Then 2 and 20 years plan is Bombay plan started from 1961-1981.
	Aakash Patil, 2018, Bombay road plan was first successful plan from year 1961-1981.
	Dhaval, 2018, 1. Nagpur- (1943-1963). $% 2. Bombay (1961-1981). $% 3. Lucknow (1981-2001).



3321. In water bound macadam roads, binding material, is
	P.Dubey, 2015, Macadam road mainly made by broken stone dust.
	Chiranjit Karan, 2018, Crushed aggregate dust.
	Bipin Kumar Chand, 2018, Why can't sand be utilised as Binding Material in WBM?  $%  $% Only condition Binding Material has to satisfy is PI less than 6.
	Mr Faisu, 2021, I think sand is the correct answer.



3322. According to Highway Research Board of U.S.A. practical land width, is
	Ali, 2016, How? Please explain me.
	Ekim, 2016, Lane width or carriageway width?
	Haylee, 2017, 3.5 m Width  for Rural Road. $%  $% 7m For town Section.
	Kuldeep, 2017, Please explain this.
	Prashanth, 2017, In USA it is 3.6 m. $%  $% In India it is 3.5 m.
	Prakhar, 2019, 0.58+2.44+0.58  $%  $% 2.44 m is max. width of vehicle. $% 0.58 m is max clearance on sides for single lane,it is 0.53 for multi lane.
	Waqad, 2021, It is lane width not land width.



3323. Design of flexible pavements is based on
	Arijit, 2017, Please explain this clearly.
	Sakthivel Arumugam, 2018, Please explain the answer.
	Anand, 2018, Design Flexible pavement are based on theories and some empirical formulas; $%  $% (Empirical method) $% 1 GROUP INDEX.  $% 2 CBR test. $% 3 Modified CBR. $% 4 California resistance method. $% 5 Meclord method.
	Pramod, 2019, Empirical methods are: $%  $% CBR TEST. $% GROUP INDEX TEST.  $% MODIFIED CBR TEST.



3324. The efficiency of the brakes of a vehicle depends upon



3325. Maximum super-elevation on hill roads should not exceed
	Abhi, 2015, You have to mentioned that not bound with snow.
	Sabariii, 2015, For plain region 7%. $%  $% For hilly region 10%.
	P.Dubey, 2015, Hill road minimum 2.5 and maximum 10 are considered.
	Arun Lodhi, 2017, Plan and rolling - 7%. $%  $% Mountain and hilly terrain - 10%.
	Sahil Sanjeev Salvi, 2017, 7% (1 in 15)for Plain.  $% 7% (1 in 15) for a hilly region with snow. $% 10% (1 in 10) for a hilly region without snow.
	Khalid Wahid, 2019, 7% =  plain. $% 7%  = hilly terrain bounded by snow. $% 10% = hilly terrain not bounded by snow('e' is high because the risk is high on the unbounded curve). $% 4% = Urban.
	Jeet, 2020, 7% = Plain & Rolling. $% 7% = Hilly terrain (snow). $% 10% = Hilly terrain (no Snow). $% 4% = Urban Area.



3326. The type of transition curves generally provided on hill roads, is
	Aniruddha, 2017, I think the answer is C.
	Ankit, 2017, I think it should be option B.
	Vipul Kamboj, 2017, The correct answer is C.
	Ramraje, 2017, Spiral is the correct answer.
	Sahil Sanjeev Salvi, 2017, Ideal Transition curve : Spiral or clothoid (Lemniscate for modern roads). $% Valley curve : Cubic parabola. $% Vertical curve : Parabola.
	Pramod, 2019, Spiral is the correct answer. I agree with the given answer.
	Bijay, 2019, That's right, I think IRC recommend spiral curve for the transition.
	Priyanka Shah, 2019, Thank you for explaining it clearly, Thanks @Sahil.
	Umesh, 2019, Thanks @Sahi.
	Pri, 2019, I think B is the correct answer. $% Ideal transition curve is spiral. $% For hilly area cubic parabola.
	Negash, 2019, Thank you@Sahil.
	Pankaj Nbcc Je, 2019, Spiral is the correct answer because the spiral is a full fill criterion of the transitive curve.
	G D D, 2019, The shape of the horizontal curve in the hilly area.
	Jeet, 2020, Road - Spiral. $% Railway track - Cubic parabola.
	Vinod Bhandari, 2020, Spiral or clothoid.



3327. The maximum safe speed on roads, depends on the



3328. The basic formula for determination of pavement thickness was first suggested by
	Hari, 2018, Option d, i.e  Goldbeck suggest under √3W/ (σ) max.
	Manjunathpatil, 2019, Please explain all the given methods.
	Mughal, 2020, Goldbeck means?



3329. Increase in traffic volume, due to increase in transport vehicles, is known as
	Syam, 2016, What is generated traffic? Please explain.
	Sanjeev, 2017, I think it's D.
	Baboolalmahawar, 2017, (c) generated traffic growth.
	Ali, 2017, B is the Correct answer.
	Garry, 2018, B is the correct answer because it is not due to the new facilities it is normally increasing condition.
	Sugan, 2018, B is correct. I agree with the given answer.
	Sandu, 2018, It is generated traffic growth because people of the nation are responsible for it, we increased it by ourself.
	Ashish, 2018, What is correct answer? Please tell me.
	Swati, 2018, I agree @Sandu.
	Sidhartha, 2018, Generated traffic growth is the right answer.
	Engr Pashtun, 2018, C is the correct one. $%  $% Normal traffic means the traffic on new track.
	Erad, 2018, Generated traffic is due to diversion or induced vehicle travel (lower cost or rallies).
	Vikrant, 2019, Generated traffic means traffic created due to construction of new facility.
	Hayat, 2019, Why not C?
	Monmayour, 2020, C is the correct answer.
	Faraaz, 2020, The answer is generated by traffic growth.
	Farhana, 2021, C is the correct answer. $%  $% Increase in traffic volume due to increase in transport vehicle is known as generated traffic growth.
	Greeshma, 2021, What is development traffic?



3330. If R is the radius of a main curve and L is the length of the transition curve, the shift of the curve, is
	Usman, 2020, How, please Explain?
	Jp Mahanta, 2020, The shift is the change in position of the circular curve due to the introduction of the transition curve. It is given by Ls^2/24R.



3331. The weight of vehicles affects
	Niraj Pokharel, 2017, How weight of vehicles affect ruling and limiting gradients?
	Arijit, 2017, Only pavement thickness is the right answer.
	Augustine Ar-Ef, 2018, Only pavement thickness is the right answer.
	Nancy, 2019, Only option A is the correct answer.



3332. Pick up the correct statement from the following:



3333. Deviation of the alignment of a trace cut may be permitted in areas involving
	Nitin Mate, 2018, Anyone, please explain this.
	Maaz, 2019, Trace cut means?
	Dharitri, 2019, Trace-cut is a track of width 1m to 1.2m constructed along the selected alignment to facilitate access to the area for inspection and detailed survey .
	Mukul Mahi, 2019, Thanks @Dharitri.



3334. If cross slope of a country is 10% to 25%, the terrain is classified as
	Dileep Barnwal, 2014, Terrain : Cross slope of a country. $%  $% Plain : 0%-10%. $%  $% Rolling : 10%-25%. $%  $% Mountainous : 25%-60%. $%  $% Steep : >60%.
	Alekhya, 2016, @Dileep. $%  $% Thanks for the information.
	Manas, 2016, @Dileep Barnwa. $%  $% Thanks for the general information.
	Ankush, 2016, Thanks for your explanation @Dileep.
	Rajesha N C, 2016, Thanks for the explanation.
	Haylee, 2017, @Dileep. $%  $% What about ESCARPMENT Area?  $% Plain -  0%-5%. $% Rolling - 6%-25%. $% Mountainous- 26%-50%. $% Escarpment->60%.
	Jaykantariya, 2017, Thanks @Dileep.
	Khan, 2017, Plain terrain up to 10%.  $% Rolling terrain 10-25%.  $% Mountain 25-60%.  $% Steep>60%.
	Sneha, 2018, Thanks @Dileep Barnwal.
	Trident, 2018, Thanks @Dileep.
	Abdullah Tunio, 2018, Thanks @Dileep.
	Priyanka Shah, 2019, Thank you for explaining @Dileep.
	Mayuri, 2019, Thanks @Dileep.
	Asita, 2019, Thanks @Dileep ji.
	Yogesh, 2019, 1. What is cross slope of the country and how one can calulate it for setting up a petrolpump? $%  $% 2. It is calculated on length or breadth basis? $%  $% 3. The stretch of the road may be 50 km for calculating the slope of the country for setting up a petrol pump accoding to MORT&H? $%  $% Please send me the answers fast so that it may come in work. Thanks!
	Jinish, 2020, Cross slope in cross fall or camber which is provided for efficient drainage facilities and to improve drainage faculty of the ground.  $%  $% For a setting up petrol pump you have to decide the road level and temporary benchmark after the known road level you have to give slope in such that water from the petrol pump can be easily drained away into the manhole by gravitational force and waterlogging does not occur for that you have to do a marks on the highest water logging level or flood level of the area by surveys of past 20 years flood level or waterlogging level so you can easily know the what should be the highest level of the embankment should be provided in the petrol pump area. In petrol pump, slope provided towards the road side and cross slope is provided.
	Payal Balki, 2020, Plain < 8%. $% Rolling 8% to 15%. $% mountainous > 15%. $% Steep >60%.
	Jeet, 2020, Plain : 0%-10%. $%  $% Rolling : 10%-25%. $%  $% Mountainous : 25%-60%. $%  $% Steep : >60%.
	Rajesh, 2020, Plain: 0%-10%.  $% Rolling: 10%-25%.  $% Mountainous: 25%-60%.  $% Steep: >60%.
	Prince, 2020, What does exactly percentage cross slope of country? I mean it's physical significance?



3335. Shoulders for high traffic volume roads, should



3336. According to the recommendations of Nagpur Conference, the width formation of an ideal National Highway in hard rock cutting, is
	Alekhya.V, 2016, Width of highway (minimum of two lanes). $%  $% = Width of 2 lanes +  Separator width. $%  $% = (2 * 3.60) + 0.7 = 7.9m.
	Laxmi, 2017, Thank you @Alekhya.
	Vikas Yadav, 2018, Thanks @Alekhya.
	Prakash, 2018, But in India, the width of one lane is 3.5 m number.
	Shaharyar Alam, 2018, But in India, the width of the road for the single lane is 3.75  and for 2 lanes and more than that is 3.5 * no of lanes. then how can you say that width of lane 3.6m?
	Uddipan, 2018, That's right.  $%  $% 3.6 is for USA standard.
	Hannanur Rahaman, 2019, 3.5+0.9+3.5 = 7.9( 0.9 for separator width).
	Jeet, 2020, Width of highway (minimum of two lanes). $%  $% = Width of 2 lanes + Separator width. $%  $% = (2 * 3.60) + 0.7 = 7.9m
	Ali, 2021, Formation width =lane width + separator width + shoulder width on either side. $% = 3.5 + 3.5 + 0.9 = 7.9.



3337. The absolute minimum radius of horizontal curve for a design speed 60 km ph is
	Gurdeep Singh, 2013, R = 60*60/127(.07+.15) = 128.8.
	Jagu, 2014, e+f = V*V / 127 R. $%  $% R = V*V/ 127*(0.07+.15).
	Sohan Lal Jangra, 2014, Please tell me formula for this?
	Mukesh, 2014, R = v*v/(e+f)*g.
	Ihsan Baloch, 2015, R = V^2/(e+f)g.
	Rajnish, 2016, Guys can you tell me where we have to use 127 and where 225?
	Neeraj Yadav, 2016, If we calculate for signal traffic, we will take 225.
	Bhavya Jagyasi, 2016, If we have to calculate the superelevation for only single vehicle then we use 127 and when we have to calculate superelevation for design speed (for all vehicle which are going to move on curve) we use 225.
	Rajat, 2016, R = V * V/27.5 = 131 m $%  $% So, the answer is A.
	Snehal, 2016, You cannot use (e + f) = v^2/127R. It is for super-elevated curves not for horizontal curves.
	Sahil Pathania, 2016, We can use the formula (e+f)=v^2/127R. As curve is horizontal take e=0. $% R = 60 * 60/127(0.15) = 189 approx. $% Ans is (D) none of these.
	Johny Chauhan, 2016, V = √ 27.94 R. $%  $% Underroot of (27.94 multiply by 27.94)
	Pramit, 2017, Here, the value of V^2/Rg should be under 0.25.
	Manoj Kabdwal, 2017, The e equals v*v/225R put e equation 0.07 find R. $%  $% It is 228.57 as this question is saying about design speed so above formula will be used.
	Varsha, 2017, 0.07 for plain and rolling. $% 0.10 for the hilly area. $% 0.04 for urban roads and frequent intersections.
	Amrit, 2017, R min= V * V/127(e+F). $%       = 60 * 60/ 127(0.07+0.15),  $%       = 128.8. $%  $% May be the correct answer 131m.
	Roop, 2017, You are correct @Amrit.
	Rahul, 2017, What is 'F' and 'e'?
	Suraj Giri, 2017, R = 60*60/127(.07+.15) = 128.8.
	Vijay, 2017, Here, R=v*v/g(e+f).
	Virender Paul, 2018, Answer is in meter so we have to convert the speed in m/s.
	Arsad Alam, 2018, Value of radius (R) =226m correct answer. So option (D) right.
	Muthu, 2018, How we can use e is 0.07 and f is 0.15?
	Tina, 2019, e= 0.07 & f= 0.15 (both are constant). $% e + f= V^2/127R. $%  $% Where: R= radius of horizontal Curve. $% R= 60^2/127(0.07+0.15). $% R= 128.84m, $% Note: here V is in kmph.
	Bazid, 2019, For hilly road e = 0.10. $% For plain e = 0.07 and the value of friction for cross slope f = 0.15.
	Kalke Patil, 2019, Thanks for the given information.
	Kinjal Patel, 2019, We can Also used, $% R =v * v/0.22 * g. $%    = 128.89 Approx.
	Anomie, 2019, Thanks @Sahil Pathania.
	Sujeet, 2019, Absoulte min radius=( Vmin)^2/((127)(e(max)+.15). $% Here Vmin=60, emax= .07 [7% for plain terrain]. $% =128.8m. $% So, D is correct.
	Mallesh, 2020, A 2-lane horizontal curve in which radius varies from infinite to some finite value R, $% constructed in hilly terrain. The radius R of curve was equal to the absolute minimum radius. If the design speed and minimum speed on the curve is 60 kmph and 40 kmph respectively. $%  $% Then calculate the length of this horizontal curve.
	Shyamlal, 2020, Equation for super Elevation: $%  $% e+f=v*v/225R(design speed), $% So R=v*v/225(e+f), $% Take e=0.07 & f=0.15, $% R=60*60/225(0.07+0.15), $% It get R=72.72m. $%  $% So the answer is option D. $% ie =60*60/225.
	Rafeek, 2020, Option D None of above. $%  $% The compensate gradients is 4 degree for, so the radius will be 60 x 4 = 120m.
	Sugumar, 2020, How can we guess the weather it is a mixed traffic or single traffic. Can anyone explain based on this question?
	Sanku, 2020, The right value is 128.84 meter.
	Pooja M, 2021, Can we use e=(0.75V)*2/gr this formula?  $% r = (0.75*16.67) * 2/9.81 * 0.07, $% r = 227.62.
	Akshay, 2021, Factor 225 as kph, so answer 72. $%  $% Agree @Shyamlal.
	Deepankar, 2021, For absolute minimum or ruling minimum radius we have to use V^2/127(e+f). $%  $% Where, V=speed in KMPH, e=given superelevation or according to given terrain condition (as there is none in this case so we HAVE TO assume plain for which it is 7% or 0.07) f = coefficient of lateral friction( 0.15). $%  $% R(absolute minimum)= (60)^2/127(0.07+0.15)= 128.84~129m.



3338. Volume of traffic which would immediately use a new road or an improved one when opened to traffic, is known
	Sonu, 2016, I think the answer is, Z - current traffic.
	Nr Reddy, 2016, Yes, B -current traffic is the right answer.
	Dnyanesh, 2016, Yes, the answer should be current traffic.
	Hemal, 2016, Current Traffic is the right answers.
	Durgesh Kumar Yadav, 2017, Yes, Current Traffic is the right answer.
	Muhammed Lukman Ada, 2017, Current Traffic is right answer. $%  $% Because Normal traffic growth is the increase in traffic volume due to the general increase in no of transportation vehicles from year to year.
	Talal, 2017, Answer is current traffic. $%  $% Reference, RS Khurmi book page number 357.
	Roy, 2017, Yes current traffic is the right answer.
	Khan, 2018, Yes, current traffic is the right one.
	Yogesh, 2018, Current traffic is correct one.
	Smriti, 2018, Current traffic is the right answer.
	Smriti, 2018, Current traffic is the right answer.
	Souradip Singha, 2018, Current traffic is the only correct option.
	Viki, 2019, Current traffic is the right answer.
	Pratiksha, 2019, Current traffic is right one.
	Amjad Ali, 2020, Current traffic is the right answer. Normal traffic growth is a general increase in no.of vehicles.
	Jeet, 2020, Because Normal traffic growth is the increase in traffic volume due to the general increase in no of transportation vehicles from year to year.
	Kaku, 2020, Current Traffic is the correct answer because it may be defined as the volume of traffic that would immediately use a new road or an improved one, when opened to traffic.
	Puski, 2020, Current traffic is right answer.
	Dipunku, 2020, Yeah, it is a current traffic.
	Tanu, 2021, Option B is the correct answer.



3339. Pick up the correct statement from the following:
	Pankaj Sah, 2020, Please confirm it via IRC code refference.



3340. In India the modes of transportation, in the order of their importance, are
	Nitesh Chandrakar, 2016, Why doesn't it come to railway before road?
	Adhi, 2016, I think the answer is relate to its transport cost.
	Liltu, 2017, Answer should be option c.
	Arun Lodhi, 2017, Correct answer is C.
	Suraj Sharma, 2017, Yes, the Correct answer is C.
	Chhaya, 2017, How the answer is C? $%  $% Explain.
	Babugouda, 2017, Most of the user and goods transport depends on the railway and it is economical also so D is the right answer.
	Harish Kumar, 2017, I think the answer is C.
	Laxmikant, 2017, I think C is correct answer.
	Garry, 2018, The road provides door to door facility. $% Which railway can't so the importance of road is more than the railway. $% But for the large travelling railway is more important. $%  $% Please, anybody, give the answer with explanation.
	Garry, 2018, Yes, the correct answer is C because it is always required as a feeder system to the other modes also.
	Sam, 2018, I think C is the right answer.
	Weer, 2018, I think answer C is correct because it gives the door to door facility.
	Mayur Ahir, 2018, Answer D is right. $%  $% I agree with the given answer.
	Augustine Ar-Ef, 2018, Correct answer will be option C
	Kewal Krishan, 2018, Road serves as a feeder line for railway waterways and airway and it links up all place in the country but railway can't so correct answer is option C.
	Mathavna, 2018, Which answer is correct? C or D please tell me.
	Taran, 2018, Here, Road is the most important among all of these. So, I think C is correct.
	Ravi Thakur, 2019, I think C is the Correct answer.
	Chandramani Sahu, 2019, I also think C is the correct answer.
	Basuddev Pathi, 2019, The answer will definitely  C, as per my knowledge, every mode of transportation depends on the road way.
	Abhik, 2019, Railways is most important because in every train goods are carried to all the places.
	Amy, 2019, Option C is the correct answer.
	Ravi, 2019, Transport System in India. $%  $% The most important means of transportation in a country are roads, railways, airways, and waterways. India has completely revolutionized its transportation system, both external and internal.
	Jhosamani, 2020, I also think C is the correct answer.
	Devaraj, 2020, Correct answer should be option C.
	Suresh, 2020, I agree, the right answer is D.
	Pooja M, 2021, Please anyone, answer this correctly.
	Sab, 2021, It Depends on max transport.



3341. On the recommendations of Indian Road Congress, the ruling gradient in plains, is
	Pradeep Muwal, 2015, For hill it is 1 in 20.
	Rk Swami, 2016, No @Pradeep. $%  $% The right answer is 1 in 30.
	Lopamudra, 2016, No, @Swami. $%  $% For hill, it's 20. It's 15 for plain.
	Lopamudra, 2016, Ruling gradient for plain is 1/30 ie 33%. $% Limiting gradient for plain is 1/20 ie5%. $% Exceptional gradient for plain is 1/15 ie 6.7%.
	Arup Mandal, 2017, Plain-1 in 30---3.3%. $% Hill- 1 in 20........5%. $% Steep- 1 in 16.7....6%.
	Saurabh Kumar, 2017, 20 in 1 for hill.
	Ravikumar, 2018, What is 1 in 30? explain please.
	Pradeep, 2018, Then what is limiting gradient in hill areas?
	Rohit, 2018, For plain/Rolling =Rulling-1/30 & Limiting-1/20.
	Subham, 2019, @Pradeep  $%  $% The limiting gradient for hills is 1 in 16.7(6%).
	Amjad Ali, 2020, Ruling 1/30. $% Limiting 1/20. $% Exceptional 1/15.
	Atia Matloob, 2020, Is unit of 1 and 20 or 15 in feet?



3342. The head light of vehicles should be such that its lower beam illuminates objects at
	Nitin P. Mate, 2018, Explain it, why.?
	Priyanka Shah, 2019, Please anyone give me the explanation.
	Anjan, 2019, Please explain in detail.
	Umesh, 2019, Explain the answer, please.
	Mritunjay Kumar Bharti, 2020, Please explain the answer in detail.
	Sushanta, 2020, Then for higher beam?



3343. The length of the side of warning sign boards of roads is
	Ankush, 2016, How? Please explain.
	Brijesh Kumar, 2017, Because this is a proper visible length.
	Anagha, 2019, Warning sign board is triangular in shape and the length of one side is 45cm.



3344. A single lane carriage way whenever changes to two-lane carriage way, is affected through a taper of
	Swapnil, 2018, What do you mean by taper?
	Gaurav, 2018, Taper refers to Slope. When the single lane is converted to a double lane, the camber effect brings taper.
	Alia, 2019, Thanks @Gaurav.
	Devika, 2020, Thank you @Gaurav.



3345. The wall constructed for the stability of an excavated portion of a road on the hill side, is known as
	Divya, 2015, Please anyone say what is meant by breast wall.
	Ironman, 2016, It should be retaining wall.
	Jeevitha, 2016, Breast walls constructed on Hills side to retail the earth from slippage.
	Muhammed Lukman Ada, 2017, Retaining wall is constructed to provide adequate stability to the road way and to the slope. $%  $% Breast wall are constructed on he hill side of the roadway to retain the earth drom slippage.
	Talal Afzal, 2017, Breast wall. $%  $% Reference : Rs Khurmi book page number 352.
	Msg, 2017, Back slope construct for the stabilityof cutted surface.
	Gaurav, 2018, Both retaining wall and breast wall serve the same purpose.
	Nitin Mate, 2018, @Muhammed. $%  $% What is meant by drom slippage? please explain it.
	Kewal Krishan, 2018, @Nitin. $%  $% Retaining wall for lower slippage below the road.
	Opsc Aee, 2019, Retaining wall. $% Supports the artificial earth filling. $%  $% Breast wall. $% Supports the natural slop.
	Shashank Sharma, 2020, The retaining walls in which the retained earth is above its cap (in a increasing slope) are called breast wall.
	Sid Parmar, 2021, Retaining wall - retain filling. $%  $% Breast wall - retain natural ground.
	Pramod Jaiswal, 2021, Wall provided on hill side of hill road =>breast wall. $%  $% And on valley side of hill road => retaining wall.
	Gyandev, 2021, According to RS KHURMI; $%  $% The breast wall is constructed on the hillside of the roadway to retain the earth from slippage. $%  $% The wall may be kept 60 cm thick throughout and sloped along the natural slope of the earth it has to protect.



3346. Maximum number of passenger cars that can pass a given point on a road during one hour under the most ideal road way and traffic conditions, is known as
	Bikash Kabiraj, 2017, Vehicles-practical capacity of a lane, passengers car-basic capacity of the traffic lane.
	Viru Kapoor, 2018, If vehicle than it is called as practical capacity.
	Augustine, 2018, Option C will be correct answer.
	Opsc Aee, 2019, Ideal - Basic capacity. $% Prevailing - Possible capacity. $% Unreasonable - Practical capacity.



3347. Reinforcement in cement concrete slab of road pavements, is placed
	Raj, 2015, I think it's provide for surface crack.
	S P Yadav, 2015, What is wielded wire mesh?
	Anur, 2016, Yap, it is right. It is provided to reduce the crack due to temperature fluctuation.
	Zeleke Damtie, 2016, It so interesting. I have got a lot of information from all. Thanks a lot.
	Garry, 2017, Why option C is not correct?
	Rabindra, 2018, Please elaborate it @Zeleke Damtie.
	Ajeet, 2018, Reinforcement is also provided in longitudinal and transversely at contraction and expansion joint.
	Alex, 2018, Reinforcement is also provided in longitudinal and transversely at contraction and expansion joint.
	Thimmesha, 2019, Thanks @Alex.
	Niraj, 2019, Why not use RCC work in road pavement? $%  $% Please tell me.
	Dipak Bhatta, 2019, Yes, it is provided in the form of welded wire mesh for avoiding the slipping failure of the reinforcement or simply called shear failure.
	Jinish, 2020, @Niraj. $%  $% Because the road has not bending stress and diagonal stress.
	Mekete Kifle, 2021, Here it is for Cement Concrete Slab not for Reinforced cement concrete slab.



3348. If d is the thickness of a concrete pavement, the equivalent radius b of resisting section for an interior loading, is
	Kumar Vikram, 2013, It should be 1.6a^2 in option D then only it would be correct, also there are various conditions for that like it is possible only in case when a<1.724d. where a is wheel radius.
	Susan Rose, 2016, You are right @Kumar Vikram.
	Pavan Kumar, 2019, it should be given, $% b = √(1.6a^2+d^2) -0.675d $% When a< 1.724d only,  $% if a> 1.724d  then b=a.



3349. According to IRC : 52-1973, for a single lane National Highway in hilly region,
	Sandi, 2015, Total width of the road.
	Ekpe Omini, 2015, Then what is the total width?
	Gopinath, 2016, I think the answer is only A.
	Apoorc, 2016, I think its 12 mtr Recommend by Irc For NH.
	Andal, 2017, Option D is correct.  $%  $% In Mountainous and Steep terrain the total width of Road way or Formation width = 3.75 ( for plain terrain ) + both sides shoulders of 1.25m = 3.75 + 2*1.25 = 6.25m.
